,Speed (OBD)(km/h),Absolute Throttle Position B(%),Torque(Nm),CO2_emission_g_per_km
500,91.0,26.66666603,31.84222842,124.09324119180958
501,91.0,29.80392075,31.84222842,131.907400409078
502,91.0,31.37254906,17.81635473,131.907400409078
503,90.0,32.15686417,17.81635473,134.85778246861224
504,90.0,31.76470566,17.81635473,134.21617484026027
508,90.0,26.66666603,32.16741754,123.76854233981855
509,90.0,26.66666603,32.16741754,124.12656898109171
512,93.0,28.62745094,36.67131874,124.49321886680525
513,92.0,28.62745094,36.67131874,127.8533668587153
514,92.0,30.58823586,36.67131874,130.32244716201293
516,92.0,26.66666603,36.02106464,122.5081804810059
517,92.0,25.88235283,36.02106464,122.5081804810059
518,92.0,25.88235283,36.02106464,121.98247928225163
519,93.0,25.88235283,36.03298359,123.43921271903517
521,96.0,25.88235283,32.26107017,122.4537147960224
522,95.0,27.45098114,32.26107017,127.98139795381228
523,95.0,31.37254906,32.26107017,131.9700963435084
535,88.0,23.92156792,38.75438171,118.63609151707722
536,89.0,23.92156792,34.72605947,122.18680348422392
537,90.0,25.88235283,34.72605947,123.62274971176815
538,90.0,25.88235283,34.72605947,123.62274971176815
539,90.0,27.45098114,17.64937946,123.15199630441009
540,90.0,27.45098114,17.64937946,127.35301592814804
541,90.0,28.23529434,17.64937946,128.10408048222953
548,87.0,20.7843132,17.22942573,100.7470680311811
549,88.0,20.7843132,33.44462056,102.21258412629882
550,88.0,20.7843132,33.44462056,104.6658405039157
551,88.0,22.35294151,33.44462056,104.6658405039157
552,89.0,21.56862831,31.24915893,109.68954798166818
553,89.0,24.70588303,31.24915893,116.35318968321947
554,89.0,24.70588303,31.24915893,123.78326581495816
567,85.0,21.1764698,57.13288492,111.73492693172018
570,89.0,26.27450943,38.43727648,127.40154780359582
571,90.0,30.98039246,34.66152541,139.28291759710982
572,91.0,27.84313774,37.52125219,123.80077703714937
573,91.0,22.35294151,37.52125219,114.02670990806868
574,90.0,25.09803963,37.52125219,114.02670990806868
575,90.0,26.27450943,37.52125219,123.76761008334428
587,90.0,32.15686417,34.82101028,135.50991557718353
588,91.0,30.98039246,38.46970255,135.50991557718353
589,92.0,27.84313774,33.88097481,130.2055052542049
590,92.0,28.23529434,33.88097481,126.05084639119232
591,93.0,28.23529434,35.28438583,131.19175019533512
592,93.0,31.37254906,35.28438583,134.08316982002856
593,93.0,31.76470566,35.28438583,135.91954084665431
597,94.0,32.54901886,37.45879728,165.26311868784788
598,93.0,32.94117737,37.45879728,165.59775658818322
599,92.0,34.11764526,37.45879728,160.86401454052304
605,90.0,22.74509811,30.48684493,115.09037019016954
606,91.0,22.74509811,35.51968756,114.49087429504331
607,92.0,22.74509811,35.51968756,115.1871267142896
608,93.0,22.74509811,38.72684838,113.63228888735085
609,94.0,22.35294151,32.22630892,111.76302426635733
610,94.0,21.56862831,32.22630892,111.76302426635733
611,93.0,21.56862831,32.22630892,107.80281821833091
612,92.0,21.96078491,32.22630892,113.17774551223319
625,82.0,26.66666603,31.57787796,128.16591290687282
626,82.0,29.80392075,31.57787796,142.82784080583906
627,82.0,31.37254906,31.57787796,156.01528973135316
628,83.0,31.37254906,31.57787796,156.01528973135316
629,84.0,31.37254906,35.18641714,160.25431025992634
630,85.0,31.76470566,31.63798993,165.9586916120993
631,86.0,31.76470566,31.62120151,153.52631909644694
632,87.0,33.33333206,39.40709511,145.30488170711763
633,87.0,33.33333206,39.40709511,145.30488170711763
634,87.0,33.33333206,39.40709511,146.09893396097286
640,90.0,30.58823586,36.27905867,129.82860034372956
641,89.0,28.23529434,36.27905867,135.67831638243308
642,89.0,30.98039246,36.27905867,135.67831638243308
659,81.0,31.37254906,36.45089695,148.50930464574034
660,82.0,32.15686417,31.32875137,144.57166175365597
665,89.0,30.98039246,30.34509496,139.26102612035754
